Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sample excecution,Chrome 68.0.3440.106,,2018-08-21 19:57:08,2018-08-21 19:57:55,46.782s,PASSED
,,,,,,
Test Cases/sign in/simple sign in,Chrome 68.0.3440.106,sign using the existing account,2018-08-21 19:57:09,2018-08-21 19:57:55,45.423s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 19:57:10,2018-08-21 19:57:51,41.576s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 68.0.3440.106,,2018-08-21 19:57:51,2018-08-21 19:57:52,0.133s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-21 19:57:52,2018-08-21 19:57:53,1.353s,PASSED
"Statement - url.contentEquals(""https://www.fashmates.com00/"")",Chrome 68.0.3440.106,,2018-08-21 19:57:53,2018-08-21 19:57:53,0.006s,PASSED
"Statement - println(""success"")",Chrome 68.0.3440.106,,2018-08-21 19:57:53,2018-08-21 19:57:53,0.033s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-08-21 19:57:53,2018-08-21 19:57:54,0.919s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-21 19:57:54,2018-08-21 19:57:55,0.684s,PASSED
